district,department,tau,yearmonth,treated_4g_dl,treated_4g_meas,treated_4g_time_pct,control_mean_4g_dl,control_mean_4g_meas
Sayan,Lima,-2,202512,9.654064,4759.0,59.50515,9.562416199999998,16855.2
Sayan,Lima,-1,202601,7.8359013,4309.0,72.538,9.392850719999998,16498.2
Sayan,Lima,0,202602,3.8184574,4153.0,72.51187,10.199519100000002,12392.4
Sayan,Lima,1,202603,6.6473346,7521.0,74.35545,10.112985900000002,16302.8
Sayan,Lima,2,202604,6.895714,7598.0,75.99894,10.0988135,13173.0
Sayan,Lima,3,202605,7.1026883,3295.0,65.10213,10.2968232,12342.4
Ayaviri,Puno,-12,202502,6.806441,49705.0,93.571045,9.8849642,36382.2
Ayaviri,Puno,-11,202503,6.868684,77533.0,90.06147,9.144723,37948.4
Ayaviri,Puno,-10,202504,6.430748,55736.0,88.47034,9.1415396,38981.6
Ayaviri,Puno,-9,202505,7.743689,39596.0,89.713295,9.3490254,36586.8
Ayaviri,Puno,-8,202506,8.002682,40977.0,92.98862,9.2840206,34301.6
Ayaviri,Puno,-7,202507,8.590095,30195.0,87.37833,9.63914108,30569.0
Ayaviri,Puno,-6,202508,9.016258,29615.0,91.91534,9.577927599999999,35357.0
Ayaviri,Puno,-5,202509,9.747738,31407.0,91.68344,9.519142800000001,37126.6
Ayaviri,Puno,-4,202510,9.463584,34238.0,88.452385,9.9162302,35629.4
Ayaviri,Puno,-3,202511,9.394197,37818.0,87.742195,10.0755932,33646.2
Ayaviri,Puno,-2,202512,11.392082,34148.0,96.26421,9.613097800000002,31837.0
Ayaviri,Puno,-1,202601,10.522229,25109.0,97.64384,10.4974564,30029.2
Ayaviri,Puno,0,202602,10.168043,20789.0,97.72914,10.1962767,32800.6
Ayaviri,Puno,1,202603,10.192282,30076.0,94.36063,10.590088,30526.2
Ayaviri,Puno,2,202604,10.342716,16052.0,96.185936,10.749716000000001,28078.0
Ayaviri,Puno,3,202605,10.745554,17378.0,95.25245,10.207277999999999,26184.8
