district,department,tau,yearmonth,treated_4g_dl,treated_4g_meas,treated_4g_time_pct,control_mean_4g_dl,control_mean_4g_meas
San Agustin,Junin,10,202510,8.994318,18841.0,99.33832,10.255904999999998,21936.4
San Agustin,Junin,11,202511,8.431895,13090.0,98.10458,9.9430322,18764.0
San Agustin,Junin,12,202512,9.219667,17721.0,97.60403,9.5466909,15008.4
El Porvenir,La Libertad,-12,202312,8.0841465,46324.0,90.035095,10.0629252,153625.6
El Porvenir,La Libertad,-11,202401,9.336655,42732.0,88.062546,10.177979400000002,141780.4
El Porvenir,La Libertad,-10,202402,9.148023,45327.0,90.79238,9.864199600000001,129298.2
El Porvenir,La Libertad,-9,202403,7.6998844,45698.0,90.18322,9.817566600000001,134676.4
El Porvenir,La Libertad,-8,202404,8.751231,45768.0,89.460106,9.963192,137344.4
El Porvenir,La Libertad,-7,202405,8.033817,50161.0,88.77964,9.8038426,124459.0
El Porvenir,La Libertad,-6,202406,9.87921,63212.0,90.95135,9.609865600000001,116197.2
El Porvenir,La Libertad,-5,202407,9.12926,60615.0,91.43142,9.7877046,115250.2
El Porvenir,La Libertad,-4,202408,9.314292,60083.0,92.67012,10.0332694,112220.2
El Porvenir,La Libertad,-3,202409,10.205242,75667.0,90.831535,9.8909794,121449.2
El Porvenir,La Libertad,-2,202410,10.794313,77628.0,91.527985,9.6546965,126591.6
El Porvenir,La Libertad,-1,202411,9.483564,57139.0,91.95273,9.7748758,118420.2
El Porvenir,La Libertad,0,202412,10.502724,65712.0,93.39937,9.9030584,104560.0
El Porvenir,La Libertad,1,202501,9.608084,48424.0,91.905365,10.104212,111797.4
El Porvenir,La Libertad,2,202502,9.790069,41296.0,93.34894,10.1600455,105033.4
El Porvenir,La Libertad,3,202503,8.967711,39441.0,91.72395,10.5163318,118859.8
El Porvenir,La Libertad,4,202504,8.558382,44674.0,90.29027,10.6769194,127750.4
El Porvenir,La Libertad,5,202505,10.287609,54128.0,96.16363,10.927190000000001,118061.4
El Porvenir,La Libertad,6,202506,10.977471,38961.0,92.349045,10.7541476,107343.2
El Porvenir,La Libertad,7,202507,10.742544,37317.0,93.58592,11.120008799999999,107652.2
El Porvenir,La Libertad,8,202508,12.078623,42733.0,93.12882,11.230787199999998,111848.8
El Porvenir,La Libertad,9,202509,12.23545,41895.0,92.19582,11.277819,89890.0
El Porvenir,La Libertad,10,202510,12.524332,47055.0,94.1123,11.555354600000001,81923.0
El Porvenir,La Libertad,11,202511,12.528993,56437.0,95.343185,11.7320408,83879.8
El Porvenir,La Libertad,12,202512,11.59947,55740.0,95.360794,12.1306376,80413.8
Chiclayo,Lambayeque,-12,202312,10.625832,205859.0,93.29089,10.342672400000001,184645.2
Chiclayo,Lambayeque,-11,202401,11.021553,190359.0,93.88156,10.3286532,160617.2
Chiclayo,Lambayeque,-10,202402,10.69923,159319.0,93.70922,10.4482292,149460.2
Chiclayo,Lambayeque,-9,202403,10.836189,156831.0,94.02163,10.214518000000002,156484.0
Chiclayo,Lambayeque,-8,202404,10.320843,175216.0,94.83797,10.5521892,158711.0
Chiclayo,Lambayeque,-7,202405,10.909495,193446.0,95.592415,10.6077914,156892.4
Chiclayo,Lambayeque,-6,202406,10.529101,162552.0,94.998535,10.2675012,145337.4
Chiclayo,Lambayeque,-5,202407,10.318794,160730.0,94.27526,10.4971539,138269.8
Chiclayo,Lambayeque,-4,202408,10.656595,141538.0,95.713646,10.8563155,136819.4
Chiclayo,Lambayeque,-3,202409,10.377608,170466.0,95.90275,10.5210764,141991.0
Chiclayo,Lambayeque,-2,202410,10.165014,212095.0,95.82432,10.5272878,150540.4
Chiclayo,Lambayeque,-1,202411,9.959286,178263.0,96.92879,10.8082956,136336.6
Chiclayo,Lambayeque,0,202412,11.422111,170592.0,96.78129,11.017064000000001,124841.8
Chiclayo,Lambayeque,1,202501,11.672198,158378.0,95.521675,11.0146038,134703.4
Chiclayo,Lambayeque,2,202502,10.253734,157061.0,96.416565,10.992318399999998,133385.8
Chiclayo,Lambayeque,3,202503,9.760014,194826.0,96.44104,11.56244,156341.2
Chiclayo,Lambayeque,4,202504,10.00334,165090.0,96.97542,11.355313,156425.2
Chiclayo,Lambayeque,5,202505,10.649043,183983.0,96.59077,11.569402700000001,147212.2
Chiclayo,Lambayeque,6,202506,12.071632,165455.0,97.69703,11.5233686,131518.2
Chiclayo,Lambayeque,7,202507,12.020131,148696.0,97.15886,11.7623262,135695.6
Chiclayo,Lambayeque,8,202508,12.461978,174614.0,97.821785,11.7695134,133666.2
Chiclayo,Lambayeque,9,202509,12.705059,144774.0,98.011604,11.906301,117955.2
Chiclayo,Lambayeque,10,202510,12.790522,137193.0,98.303024,12.1157646,123557.6
Chiclayo,Lambayeque,11,202511,12.899739,137830.0,98.44772,12.280756799999999,115500.8
Chiclayo,Lambayeque,12,202512,12.972348,128590.0,97.247826,12.459539,108172.4
La Victoria,Lambayeque,-12,202312,10.288975,43497.0,95.200676,10.4370626,107785.8
La Victoria,Lambayeque,-11,202401,10.561386,38559.0,94.77214,10.511465399999999,103195.0
La Victoria,Lambayeque,-10,202402,11.247249,33897.0,92.603714,10.183776,92250.0
La Victoria,Lambayeque,-9,202403,9.310879,42403.0,96.28697,10.0953176,98510.4
La Victoria,Lambayeque,-8,202404,9.732799,36430.0,95.68522,10.5354584,99458.6
La Victoria,Lambayeque,-7,202405,9.100928,44605.0,95.94623,10.1715431,97832.4
La Victoria,Lambayeque,-6,202406,11.019594,46167.0,96.80872,10.3067442,90998.8
La Victoria,Lambayeque,-5,202407,11.396543,50191.0,95.87425,10.202391700000002,91218.6
La Victoria,Lambayeque,-4,202408,10.637383,39487.0,96.53001,10.547813600000001,81654.2
La Victoria,Lambayeque,-3,202409,10.32148,41949.0,97.15186,10.2979131,85081.8
La Victoria,Lambayeque,-2,202410,9.782834,46909.0,95.856575,10.1855814,91983.8
