district,tau,yearmonth,time_pct_3g,time_pct_4g,time_pct_5g,download_4g,download_5g,meas_4g,meas_5g,control_mean_4g_dl
San Juan De Lurigancho,-6,202506,5.663059,92.62704,0.0,12.445245,0.0,393408.0,0.0,11.257027
San Juan De Lurigancho,-5,202507,4.741109,93.8054,0.0,12.667829,0.0,414207.0,0.0,11.607833399999999
San Juan De Lurigancho,-4,202508,4.1246467,94.55042,0.0,12.4999,0.0,394715.0,0.0,11.9759834
San Juan De Lurigancho,-3,202509,3.0755448,95.51906,0.0,12.690415,0.0,352872.0,0.0,12.1102834
San Juan De Lurigancho,-2,202510,2.7066195,95.894325,0.0,13.2051325,0.0,352109.0,0.0,11.9387668
San Juan De Lurigancho,-1,202511,2.053122,95.89712,0.0,12.751473,0.0,331382.0,0.0,12.098127799999999
San Juan De Lurigancho,0,202512,0.14646922,95.797874,0.0,12.714674,0.0,350234.0,0.0,12.503811599999999
San Juan De Lurigancho,1,202601,0.07424303,96.653984,0.0,12.962142,0.0,354185.0,0.0,12.733460399999998
San Juan De Lurigancho,2,202602,0.13156149,97.57019,0.003584609,12.794425,0.0,326514.0,0.0,12.8324578
San Juan De Lurigancho,3,202603,0.106323145,97.615204,0.013255897,12.645661,0.0,317983.0,0.0,12.8550662
San Juan De Lurigancho,4,202604,0.037029248,97.20646,0.018978668,12.928205,0.0,258498.0,0.0,12.9260934
San Juan De Lurigancho,5,202605,0.019846765,97.51667,0.28355703,13.332845,16.35804,253660.0,5651.0,13.0854534
San Martin De Porres,-12,202412,8.552378,90.49209,0.0,11.022257,0.0,271318.0,0.0,10.975450666666667
San Martin De Porres,-11,202501,8.8517065,90.3526,0.0,11.501289,0.0,313075.0,0.0,11.275063666666666
San Martin De Porres,-10,202502,8.783017,90.52797,0.0,10.967699,0.0,279887.0,0.0,10.900453166666667
San Martin De Porres,-9,202503,7.952489,91.24608,0.0,11.721023,0.0,302173.0,0.0,11.071931
San Martin De Porres,-8,202504,7.622157,91.69368,0.0,12.106983,0.0,304633.0,0.0,11.182933
San Martin De Porres,-7,202505,6.319235,93.10811,0.0,12.671806,0.0,314475.0,0.0,11.359642000000001
San Martin De Porres,-6,202506,6.0868,93.44868,0.0,12.750406,0.0,281355.0,0.0,11.488209666666668
San Martin De Porres,-5,202507,6.0313225,93.469986,0.0,12.85539,0.0,284746.0,0.0,11.965677999999999
San Martin De Porres,-4,202508,5.1067443,94.50055,0.0,12.529801,0.0,324432.0,0.0,12.31582
San Martin De Porres,-3,202509,4.909394,94.685745,0.0,12.8697815,0.0,290135.0,0.0,12.296358333333336
San Martin De Porres,-2,202510,4.606345,95.022964,0.0,13.037471,0.0,278864.0,0.0,12.436740666666665
San Martin De Porres,-1,202511,3.80906,95.825005,0.0,13.046813,0.0,285675.0,0.0,12.563574333333333
San Martin De Porres,0,202512,0.5059092,96.19902,0.0,13.162756,0.0,275938.0,0.0,13.141926666666665
San Martin De Porres,1,202601,0.35938057,97.14644,0.0,13.044672,0.0,256894.0,0.0,13.025649999999999
San Martin De Porres,2,202602,0.27920148,98.43932,0.0,13.135483,0.0,234214.0,0.0,12.930841000000001
San Martin De Porres,3,202603,0.36522987,98.41966,0.0,13.293515,0.0,287123.0,0.0,13.103884333333333
San Martin De Porres,4,202604,0.09761668,98.66371,0.18969554,13.402466,18.874195,244540.0,1409.0,13.054136999999999
San Martin De Porres,5,202605,0.01298166,98.06467,0.66096675,13.022157,19.962332,286187.0,5823.0,13.172640666666666
Asia,-12,202412,6.9785485,90.273636,0.0,13.43968,0.0,23792.0,0.0,10.7436866
Asia,-11,202501,5.5412803,93.34379,0.0,12.299575,0.0,23969.0,0.0,9.8862076
Asia,-10,202502,7.6094375,90.1236,0.0,12.695018,0.0,26033.0,0.0,10.658076699999999
Asia,-9,202503,3.3801262,94.99311,0.0,12.663193,0.0,30593.0,0.0,11.480722
Asia,-8,202504,3.2202854,94.90995,0.0,12.19376,0.0,29873.0,0.0,11.876271599999999
Asia,-7,202505,4.7841706,92.941246,0.0,11.359073,0.0,23300.0,0.0,11.0763718
Asia,-6,202506,5.044038,93.04769,0.0,12.285156,0.0,22595.0,0.0,12.147117399999999
Asia,-5,202507,4.208572,94.01043,0.0,12.726664,0.0,23441.0,0.0,12.1461619
Asia,-4,202508,6.0716205,92.57715,0.0,11.574969,0.0,25106.0,0.0,11.8632429
Asia,-3,202509,6.016891,90.892685,0.57224715,12.124602,0.0,22438.0,0.0,12.194042600000001
Asia,-2,202510,5.671081,90.96151,1.3231462,12.5036745,16.294497,31700.0,925.0,12.5708494
Asia,-1,202511,6.6336913,88.508644,0.69418967,13.165506,0.0,28179.0,0.0,12.175973599999999
Asia,0,202512,0.027691169,93.469986,1.4623759,13.058048,15.368141,30783.0,641.0,12.262260399999999
Asia,1,202601,0.06730038,94.35221,2.0887508,12.19763,16.13262,28888.0,1587.0,10.9165602
Asia,2,202602,0.11909959,97.15951,1.6587662,13.0694065,19.588894,16209.0,680.0,11.5717656
Asia,3,202603,0.024303636,96.302864,2.6158144,13.288824,15.367541,24943.0,1624.0,12.3456755
Asia,4,202604,0.04188724,96.824615,1.9442079,12.9561,17.0646,17140.0,1154.0,12.4777336
Asia,5,202605,0.15179767,97.79118,1.1342776,13.10271,0.0,17757.0,0.0,12.9961772
Mala,-12,202412,3.7787888,95.139206,0.0,11.973569,0.0,52786.0,0.0,11.795866100000001
Mala,-11,202501,3.4655101,95.14316,0.0,11.731472,0.0,46964.0,0.0,11.2682622
Mala,-10,202502,4.2333903,94.687325,0.0,11.677636,0.0,38832.0,0.0,10.8327343
Mala,-9,202503,2.3705933,95.53124,0.0,11.399779,0.0,49264.0,0.0,11.336509999999999
Mala,-8,202504,3.6096091,95.21688,0.0,12.105468,0.0,56207.0,0.0,11.791835599999999
Mala,-7,202505,3.0387573,96.515205,0.0,11.349758,0.0,52099.0,0.0,11.3466512
Mala,-6,202506,3.3821077,96.34424,0.0,11.353024,0.0,52074.0,0.0,11.4681146
Mala,-5,202507,2.8913083,96.0473,0.0,12.028717,0.0,48500.0,0.0,11.531172399999999
Mala,-4,202508,3.6636014,96.077194,0.0,12.13714,0.0,56494.0,0.0,11.6952224
Mala,-3,202509,3.6961153,95.98992,0.0,12.281881,0.0,65046.0,0.0,12.1812906
Mala,-2,202510,6.2173305,93.4582,0.0,11.929181,0.0,54155.0,0.0,12.0042282
Mala,-1,202511,3.6101983,94.92164,0.0,12.531919,0.0,48163.0,0.0,11.5437865
Mala,0,202512,0.05108512,96.4607,0.0,12.796713,0.0,54257.0,0.0,11.9706791
Mala,1,202601,0.07790309,95.87736,0.0,12.709466,0.0,41700.0,0.0,11.3880143
Mala,2,202602,0.020776367,93.81871,0.05144027,13.023285,0.0,31553.0,0.0,11.6627398
Mala,3,202603,0.07132317,97.37596,0.1799283,13.110269,0.0,47834.0,0.0,12.448087099999999
Mala,4,202604,0.057313107,97.617485,1.6752173,12.927336,21.982346,53984.0,1477.0,12.2868806
Mala,5,202605,0.11079351,96.30434,2.8705373,12.295346,17.838041,43907.0,2815.0,12.2638306
