tau,mean_treated_4g,mean_control_4g,gap_mean,gap_std,n
-6,10.163340180597014,10.024498372910449,0.1388418076865671,0.9141918108007507,67
-5,10.235695256716419,10.05298598420398,0.18270927251243782,0.7170309276677107,67
-4,10.310317247761194,10.140920290547264,0.16939695721393022,0.679903065915477,67
-3,10.307028289552239,10.209742008706467,0.09728628084577104,0.7860641139175114,67
-2,10.488426625373133,10.359368371393034,0.12905825398009957,0.7646134826394837,67
-1,10.5655932,10.4193692270398,0.14622397296019907,0.8298799203589468,67
0,11.03289666119403,10.47594791221393,0.5569487489800994,1.2874058523789587,67
1,11.28604214477612,10.46537381800995,0.8206683267661691,1.1257277869373608,67
2,11.323157589552238,10.530580028308458,0.7925775612437808,1.228936759692608,67
3,11.438426168656717,10.614967744676617,0.8234584239800995,1.442555436422561,67
4,11.499293317460317,10.47794378425926,1.0213495332010583,1.444158994846316,63
5,11.691699661290324,10.633226386908602,1.0584732743817205,1.4347571413886384,62
