AÑO,MES,ADM_LEVEL_1_NAME,ADM_LEVEL_2_NAME,ADM_LEVEL_3_NAME,NETWORK_CARRIER,AVERAGE_THROUGHPUT_DOWNLOAD_3G,THROUGHPUT_DOWNLOAD_3G_MEASUREMENTS,AVERAGE_THROUGHPUT_UPLOAD_3G,THROUGHPUT_UPLOAD_3G_MEASUREMENTS,AVERAGE_THROUGHPUT_DOWNLOAD_4G,THROUGHPUT_DOWNLOAD_4G_MEASUREMENTS,AVERAGE_THROUGHPUT_UPLOAD_4G,THROUGHPUT_UPLOAD_4G_MEASUREMENTS,AVERAGE_THROUGHPUT_DOWNLOAD_5G_NSA,THROUGHPUT_DOWNLOAD_5G_NSA_MEASUREMENTS,AVERAGE_THROUGHPUT_UPLOAD_5G_NSA,THROUGHPUT_UPLOAD_5G_NSA_MEASUREMENTS,AVERAGE_LATENCY_3G,LATENCY_3G_MEASUREMENTS,AVERAGE_LATENCY_4G,LATENCY_4G_MEASUREMENTS,AVERAGE_LATENCY_5G_NSA,LATENCY_5G_NSA_MEASUREMENTS,TIME_PERCENTAGE_3G,TIME_PERCENTAGE_3G_SECONDS,TIME_PERCENTAGE_3G_MEASUREMENTS,TIME_PERCENTAGE_4G,TIME_PERCENTAGE_4G_SECONDS,TIME_PERCENTAGE_4G_MEASUREMENTS,TIME_PERCENTAGE_5G_NSA,TIME_PERCENTAGE_5G_NSA_SECONDS,TIME_PERCENTAGE_5G_NSA_MEASUREMENTS,TIME_PERCENTAGE_TOTAL_SECONDS,PACKET_LOSS_3G,LOST_PACKET_3G,PACKET_TRANSMITTED_3G,PACKET_LOSS_3G_MEASUREMENTS,PACKET_LOSS_4G,LOST_PACKET_4G,PACKET_TRANSMITTED_4G,PACKET_LOSS_4G_MEASUREMENTS,PACKET_LOSS_5G_NSA,LOST_PACKET_5G_NSA,PACKET_TRANSMITTED_5G_NSA,PACKET_LOSS_5G_NSA_MEASUREMENTS,ROW_PRESENT_IN_SOURCE,SOURCE_FILE,YEARMONTH,IS_3G_ACTIVE_MONTH,IS_3G_ZERO_MONTH
2023,1,Arequipa,Arequipa,Tiabaya,MOVISTAR,4.5721693,1620.0,0.0,0.0,7.202629,6671.0,2.7236223,612.0,0.0,0.0,0.0,0.0,192.84848,1079.0,87.05008,6438.0,0.0,0.0,6.3597956,1169614.0,0.0,93.07856,17117845.0,0.0,0.0,0.0,0.0,18390749.0,5.107047,229.0,4484.0,0.0,1.5071701,412.0,27336.0,0.0,0.0,0.0,0.0,0.0,True,dataset_2023.csv,202301,True,False
2023,1,Arequipa,Arequipa,Yanahuara,MOVISTAR,3.2801213,1199.0,0.0,0.0,12.141115,21458.0,3.6089926,1382.0,0.0,0.0,0.0,0.0,196.94188,1310.0,84.911354,21371.0,0.0,0.0,3.9806654,1783079.0,0.0,95.70552,42869844.0,0.0,0.0,0.0,0.0,44793491.0,5.43399,298.0,5484.0,0.0,1.4784886,1321.0,89348.0,0.0,0.0,0.0,0.0,0.0,True,dataset_2023.csv,202301,True,False
2023,1,Ayacucho,Huamanga,Carmen Alto,MOVISTAR,3.1623945,2019.0,0.61740017,493.0,8.624404,10001.0,5.0103908,900.0,0.0,0.0,0.0,0.0,228.90077,1260.0,81.59762,8137.0,0.0,0.0,7.7702813,1118469.0,0.0,91.48777,13168922.0,0.0,0.0,0.0,0.0,14394189.0,4.767103,262.0,5496.0,0.0,1.9518747,683.0,34992.0,0.0,0.0,0.0,0.0,0.0,True,dataset_2023.csv,202301,True,False
2023,1,Callao,Callao,Bellavista,MOVISTAR,3.935045,3551.0,0.98326164,1173.0,10.08227,56150.0,3.1479006,6177.0,0.0,0.0,0.0,0.0,295.42862,4026.0,80.754814,66599.0,0.0,0.0,7.802296,6736054.0,0.0,90.80008,78391567.0,0.0,0.0,0.0,0.0,86334250.0,4.5136576,813.0,18012.0,0.0,1.0088618,2796.0,277144.0,0.0,0.0,0.0,0.0,0.0,True,dataset_2023.csv,202301,True,False
2023,1,Callao,Callao,Callao,MOVISTAR,3.6550274,26939.0,0.7817491,6956.0,10.929684,353512.0,3.6346068,28891.0,0.0,0.0,0.0,0.0,256.53268,19493.0,79.450485,345763.0,0.0,0.0,8.317611,41498338.0,0.0,89.96055,448832417.0,0.0,0.0,0.0,0.0,498921389.0,4.527229,3884.0,85792.0,0.0,0.9757785,13934.0,1427988.0,0.0,0.0,0.0,0.0,0.0,True,dataset_2023.csv,202301,True,False
2023,1,Callao,Callao,La Perla,MOVISTAR,4.3306017,1647.0,0.0,0.0,11.857951,36409.0,2.9459517,2459.0,0.0,0.0,0.0,0.0,227.35953,1581.0,77.88749,35984.0,0.0,0.0,6.7586064,4170452.0,0.0,92.45141,57047880.0,0.0,0.0,0.0,0.0,61705799.0,3.8517442,265.0,6880.0,0.0,1.0762825,1587.0,147452.0,0.0,0.0,0.0,0.0,0.0,True,dataset_2023.csv,202301,True,False
2023,1,Cusco,Acomayo,Pomacanchi,MOVISTAR,0.0,0.0,0.0,0.0,8.474897,741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0767808,40951.0,0.0,78.87133,1049753.0,0.0,0.0,0.0,0.0,1330969.0,0.0,0.0,0.0,0.0,2.2077923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,dataset_2023.csv,202301,False,True
2023,1,Cusco,Cusco,Cusco,MOVISTAR,3.2835457,7769.0,0.69385916,2687.0,8.633554,68132.0,3.8438888,4704.0,0.0,0.0,0.0,0.0,242.26749,4702.0,92.71976,61107.0,0.0,0.0,6.064842,7031161.0,0.0,91.81162,106440087.0,0.0,0.0,0.0,0.0,115933125.0,7.0109634,1458.0,20796.0,0.0,2.5357876,6866.0,270764.0,0.0,0.0,0.0,0.0,0.0,True,dataset_2023.csv,202301,True,False
2023,1,Cusco,Cusco,San Jeronimo,MOVISTAR,4.6185493,6668.0,0.6762698,2166.0,8.283683,40304.0,4.1758127,2807.0,0.0,0.0,0.0,0.0,221.4034,3190.0,91.38901,29167.0,0.0,0.0,7.597165,3933141.0,0.0,91.83594,47544536.0,0.0,0.0,0.0,0.0,51771165.0,5.864014,790.0,13472.0,0.0,1.4482144,1820.0,125672.0,0.0,0.0,0.0,0.0,0.0,True,dataset_2023.csv,202301,True,False
2023,1,Cusco,Cusco,San Sebastian,MOVISTAR,2.9008765,3147.0,0.7064487,869.0,7.1943207,41699.0,2.9361477,3059.0,0.0,0.0,0.0,0.0,251.58409,2440.0,94.39373,39341.0,0.0,0.0,6.379623,4526247.0,0.0,92.05008,65308150.0,0.0,0.0,0.0,0.0,70948501.0,7.7006903,848.0,11012.0,0.0,2.3641536,4088.0,172916.0,0.0,0.0,0.0,0.0,0.0,True,dataset_2023.csv,202301,True,False
