treated_ubigeo,treated_dept,treated_prov,treated_dist,treated_bp,treated_region3,treated_pre6_4g,treated_post6_4g,treated_log10_pop,treated_altitud_m,control_key,control_region3,control_pre6_4g,control_post6_4g,control_delta,control_log10_pop,control_altitud_m,mahal_dist,caliper_level
40109,Arequipa,Arequipa,Mariano Melgar,202411,Sierra,9.7935575,11.282756416666668,4.7775573086390075,2459.0,CAJAMARCA|CUTERVO|CUTERVO,Sierra,8.881276766666666,6.980603833333333,-1.9006729333333325,4.706760441781998,2665.0,2.700521107814597,standard
40110,Arequipa,Arequipa,Miraflores,202411,Sierra,11.5843455,11.827727166666667,4.782393784678972,2450.0,AYACUCHO|HUAMANGA|SAN JUAN BAUTISTA,Sierra,10.996906666666668,10.189561,-0.8073456666666683,4.6904973227193505,2786.0,5.316798155942182,standard
40110,Arequipa,Arequipa,Miraflores,202411,Sierra,11.5843455,11.827727166666667,4.782393784678972,2450.0,AMAZONAS|CHACHAPOYAS|CHACHAPOYAS,Sierra,10.829541166666667,10.069022166666668,-0.7605189999999986,4.5130710342563365,2483.0,5.454489120760151,standard
40110,Arequipa,Arequipa,Miraflores,202411,Sierra,11.5843455,11.827727166666667,4.782393784678972,2450.0,CUSCO|URUBAMBA|URUBAMBA,Sierra,11.338742000000002,10.014993166666667,-1.323748833333335,4.302806962741421,2885.0,6.729137446889592,standard
40112,Arequipa,Arequipa,Paucarpata,202411,Sierra,9.478909166666666,10.11965525,5.118416851355973,2453.0,APURIMAC|ABANCAY|ABANCAY,Sierra,9.444974916666668,9.215985666666667,-0.22898925000000148,4.839025290430942,2500.0,1.845387675303952,standard
40112,Arequipa,Arequipa,Paucarpata,202411,Sierra,9.478909166666666,10.11965525,5.118416851355973,2453.0,CAJAMARCA|CAJAMARCA|CAJAMARCA,Sierra,9.532845333333333,8.57484025,-0.9580050833333331,5.339930193210941,2731.0,2.0418686095545686,standard
40112,Arequipa,Arequipa,Paucarpata,202411,Sierra,9.478909166666666,10.11965525,5.118416851355973,2453.0,CAJAMARCA|HUALGAYOC|BAMBAMARCA,Sierra,8.901066333333334,8.896077666666667,-0.0049886666666676405,4.777521066390996,2556.0,2.6014497063387148,standard
40112,Arequipa,Arequipa,Paucarpata,202411,Sierra,9.478909166666666,10.11965525,5.118416851355973,2453.0,CAJAMARCA|CHOTA|CHOTA,Sierra,10.04457425,9.208769416666666,-0.8358048333333343,4.674668282190568,2430.0,2.821065655316568,standard
40112,Arequipa,Arequipa,Paucarpata,202411,Sierra,9.478909166666666,10.11965525,5.118416851355973,2453.0,CAJAMARCA|CUTERVO|CUTERVO,Sierra,8.881276766666666,6.980603833333333,-1.9006729333333325,4.706760441781998,2665.0,3.8041747159444554,standard
40117,Arequipa,Arequipa,Sachaca,202410,Sierra,9.195857833333331,10.607178499999998,4.384263785722803,2300.0,APURIMAC|ABANCAY|TAMBURCO,Sierra,8.784304166666665,10.892588583333334,2.1082844166666685,4.035869813695553,2620.0,3.008094839091836,standard
40117,Arequipa,Arequipa,Sachaca,202410,Sierra,9.195857833333331,10.607178499999998,4.384263785722803,2300.0,CAJAMARCA|CHOTA|CHOTA,Sierra,9.865779916666668,9.49020375,-0.3755761666666686,4.674668282190568,2430.0,3.4194376827069113,standard
40117,Arequipa,Arequipa,Sachaca,202410,Sierra,9.195857833333331,10.607178499999998,4.384263785722803,2300.0,APURIMAC|ABANCAY|ABANCAY,Sierra,9.300923249999999,9.292883166666666,-0.008040083333332504,4.839025290430942,2500.0,3.6558083775958963,standard
40117,Arequipa,Arequipa,Sachaca,202410,Sierra,9.195857833333331,10.607178499999998,4.384263785722803,2300.0,CAJAMARCA|HUALGAYOC|BAMBAMARCA,Sierra,8.880917166666666,9.050657166666666,0.1697399999999991,4.777521066390996,2556.0,3.7980355738752465,standard
40117,Arequipa,Arequipa,Sachaca,202410,Sierra,9.195857833333331,10.607178499999998,4.384263785722803,2300.0,CAJAMARCA|CUTERVO|CUTERVO,Sierra,8.9234236,7.127116183333334,-1.7963074166666653,4.706760441781998,2665.0,4.716104737352101,standard
40122,Arequipa,Arequipa,Socabaya,202410,Sierra,11.173927583333333,10.033349666666666,4.87708902030825,2352.0,CAJAMARCA|CAJAMARCA|LOS BAÑOS DEL INCA,Sierra,11.298516833333336,10.126884666666667,-1.1716321666666687,4.664162294761991,2685.0,1.268422102230073,standard
40122,Arequipa,Arequipa,Socabaya,202410,Sierra,11.173927583333333,10.033349666666666,4.87708902030825,2352.0,AYACUCHO|HUAMANGA|SAN JUAN BAUTISTA,Sierra,11.147398166666667,10.342259833333332,-0.8051383333333355,4.6904973227193505,2786.0,1.3131382280277835,standard
40122,Arequipa,Arequipa,Socabaya,202410,Sierra,11.173927583333333,10.033349666666666,4.87708902030825,2352.0,HUANUCO|HUANUCO|HUANUCO,Sierra,10.558046166666665,11.13115,0.5731038333333345,4.951832740112103,1921.0,1.7711475633283633,standard
40122,Arequipa,Arequipa,Socabaya,202410,Sierra,11.173927583333333,10.033349666666666,4.87708902030825,2352.0,HUANUCO|HUANUCO|AMARILIS,Sierra,10.533953833333333,11.088350499999999,0.5543966666666655,4.910949737100534,1950.0,1.975152991033262,standard
40122,Arequipa,Arequipa,Socabaya,202410,Sierra,11.173927583333333,10.033349666666666,4.87708902030825,2352.0,AMAZONAS|CHACHAPOYAS|CHACHAPOYAS,Sierra,11.287110833333335,9.944228,-1.3428828333333342,4.5130710342563365,2483.0,3.1999127636436344,standard
40123,Arequipa,Arequipa,Tiabaya,202410,Costa,8.894516,10.487080166666669,4.209273672784876,2218.0,AREQUIPA|AREQUIPA|LA JOYA,Costa,9.974858333333334,10.080727000000001,0.10586866666666772,4.50540776414594,1575.0,1.9032742156226974,relaxed
40123,Arequipa,Arequipa,Tiabaya,202410,Costa,8.894516,10.487080166666669,4.209273672784876,2218.0,ANCASH|HUAYLAS|CARAZ,Costa,6.9927497333333335,7.586587416666666,0.5938376833333328,4.38252132418968,2273.0,1.9991419451996,relaxed
40123,Arequipa,Arequipa,Tiabaya,202410,Costa,8.894516,10.487080166666669,4.209273672784876,2218.0,MOQUEGUA|MARISCAL NIETO|MOQUEGUA,Costa,9.785375666666667,9.939053833333334,0.15367816666666734,4.8182786921651,1428.0,2.2143739787745202,relaxed
40123,Arequipa,Arequipa,Tiabaya,202410,Costa,8.894516,10.487080166666669,4.209273672784876,2218.0,CAJAMARCA|SANTA CRUZ|SANTA CRUZ,Costa,8.440407166666667,9.317918666666666,0.8775114999999989,3.965013450272248,2036.0,2.622318345108054,relaxed
