department,province,district,carrier,breakpoint_yearmonth,months_pre,months_post,pre6_4g_download_mbps,post6_4g_download_mbps,delta_4g_download_mbps,pct_4g_download_upgrade,pre6_4g_upload_mbps,post6_4g_upload_mbps,delta_4g_upload_mbps,pct_4g_upload_upgrade,pre6_4g_latency_ms,post6_4g_latency_ms,delta_4g_latency_ms,pct_4g_latency_improvement,pre6_4g_time_pct,post6_4g_time_pct,delta_4g_time_pp,pre6_4g_packet_loss_pct,post6_4g_packet_loss_pct,delta_4g_packet_loss_pp,pct_4g_packet_loss_improvement,composite_upgrade_score,pre6_4g_download_measurements,post6_4g_download_measurements,last_yearmonth_available
Ancash,Yungay,Ranrahirca,MOVISTAR,202604,39,2,6.1386977499999995,8.04216725,1.9034695000000008,0.3100770843457801,0.0,0.934194,0.934194,,68.577746,62.0412025,-6.536543500000008,0.10535810455962724,42.72017916666666,86.124027,43.40384783333334,0.8418939333333332,0.572241035,-0.26965289833333317,0.4712225825142602,0.2812203067693315,781.1666666666666,3340.0,202605
Cusco,Acomayo,Pomacanchi,MOVISTAR,202512,35,6,5.2798421,4.92580925,-0.3540328499999994,-0.06705368139702506,0.0,0.0,0.0,,51.225075000000004,29.730653166666666,-21.494421833333337,0.7229717326705891,51.822061999999995,83.98718283333334,32.16512083333334,0.27736736333333334,0.34158715166666664,0.0642197883333333,-0.18800410969790027,0.22678698396934382,401.3333333333333,232.16666666666666,202605
Cusco,Cusco,San Jeronimo,MOVISTAR,202509,32,9,8.762957766666666,12.226203416666666,3.4632456499999993,0.39521423498967523,2.7443106,3.1673788666666667,0.42306826666666675,0.1541619475093916,68.06729583333335,61.56959516666666,-6.497700666666688,0.10553424379480902,94.28156833333333,96.3573215,2.075753166666672,0.8094351966666666,0.9918668816666667,0.18243168500000007,-0.18392758985303959,0.20151079732832913,36490.833333333336,30584.666666666668,202605
Cusco,Cusco,Cusco,MOVISTAR,202509,32,9,8.325551416666668,11.494709916666666,3.169158499999998,0.38065448657920187,2.295560183333333,2.788672233333333,0.49311205000000013,0.21481120537818477,70.67241916666667,66.59568666666667,-4.076732500000006,0.06121616435018362,89.81116566666667,93.53187866666667,3.7207130000000035,1.3832194166666667,1.6693697500000002,0.2861503333333335,-0.17141219513132633,0.19679797626938808,57674.0,42626.5,202605
Ica,Ica,Subtanjalla,MOVISTAR,202507,30,11,8.429923066666667,11.484229083333334,3.0543060166666667,0.36231718753684783,3.1199703166666666,2.8752662333333334,-0.24470408333333316,-0.07843154212914805,59.40997099999999,53.32847666666667,-6.081494333333325,0.11403840337210691,88.67585883333334,91.4686875,2.792828666666665,0.7101478,0.6290980883333334,-0.08104971166666664,0.12883477659484122,0.17230272636813573,12683.0,10392.666666666666,202605
Arequipa,Arequipa,Cayma,MOVISTAR,202411,22,19,9.984859,11.345640416666667,1.3607814166666667,0.13628449001299536,2.9847707333333333,3.3123795166666663,0.327608783333333,0.10976011647215067,78.12861916666667,61.916065833333334,-16.212553333333332,0.26184727849108747,96.76073350000001,97.45678166666666,0.6960481666666425,0.9113427083333333,0.6139771333333333,-0.29736557500000005,0.4843267914320806,0.16170004492039664,49935.833333333336,52061.666666666664,202605
La Libertad,Trujillo,Victor Larco Herrera,MOVISTAR,202412,23,18,11.031788,12.700503750000001,1.6687157500000005,0.15126430547795167,2.7063642,2.850323733333333,0.14395953333333322,0.0531929639526465,70.26545183333333,55.95097683333333,-14.314475000000002,0.2558395904800721,93.5525115,97.14465416666667,3.5921426666666747,0.4409198316666667,0.30069526500000004,-0.14022456666666666,0.46633446877411466,0.1611495018428014,47157.333333333336,42457.666666666664,202605
Arequipa,Arequipa,Mariano Melgar,MOVISTAR,202411,22,19,9.7935575,11.282756416666667,1.4891989166666662,0.15205903642947582,3.227813466666667,3.196436866666667,-0.031376599999999755,-0.009720698027944619,78.972289,62.534957,-16.437332000000005,0.26285029667486626,94.6520835,98.44067249999999,3.7885889999999875,0.75883555,0.4931445116666667,-0.26569103833333335,0.538769127603965,0.15769942391651345,34827.333333333336,27112.333333333332,202605
Cusco,Cusco,San Sebastian,MOVISTAR,202509,32,9,9.034160000000002,11.292797166666665,2.258637166666663,0.2500107554732993,2.6699845,3.2647733,0.5947887999999999,0.2227686340501227,71.49519,65.46899733333333,-6.02619266666666,0.09204650921999757,89.00518266666667,93.68066733333335,4.6754846666666765,1.3384441166666667,1.5504262166666667,0.21198209999999995,-0.13672504871321778,0.15660819916617666,32926.5,24614.833333333332,202605
Cusco,Cusco,Santiago,MOVISTAR,202509,32,9,7.7028014833333325,10.441906666666666,2.7391051833333337,0.3555985688142136,2.541858116666667,2.644728,0.10286988333333325,0.040470348308911275,69.79992499999999,66.45418333333333,-3.3457416666666546,0.05034659217591253,90.55000683333333,94.61098766666667,4.060980833333346,0.9632640816666665,1.277456521666667,0.31419244000000035,-0.24595157226179487,0.1546905204529105,45814.666666666664,36775.166666666664,202605
